Navn,Parti,Totalt,Tilstede,Tilstede(%)
"Lysbakken, Audun",Sosialistisk Venstreparti,1032,11,1.1
"Solberg, Erna",Høyre,2640,39,1.5
"Solberg, Eirik Lae",Høyre,302,12,4
"Heyerdahl, Nora Jungeilges",Miljøpartiet De Grønne,75,6,8
"Melby, Guri",Venstre,2640,325,12.3
"Helleland, Trond",Høyre,2535,326,12.9
"Listhaug, Sylvi",Fremskrittspartiet,2640,343,13
"Myrli, Sverre",Arbeiderpartiet,2072,301,14.5
"Aasrud, Rigmor",Arbeiderpartiet,2640,390,14.8
"Skjervø, Gaute Børstad",Arbeiderpartiet,650,101,15.5
"Raja, Abid",Venstre,2640,558,21.1
"Gharahkhani, Masud",Arbeiderpartiet,2641,604,22.9
"Knutsen, Eigil",Arbeiderpartiet,2494,593,23.8
"Bru, Tina",Høyre,2606,656,25.2
"Nordlund, Willfred",Senterpartiet,2209,557,25.2
"Tajik, Hadia",Arbeiderpartiet,1697,458,27
"Johnsen, Tor André",Fremskrittspartiet,2405,678,28.2
"Bastholm, Une",Miljøpartiet De Grønne,1987,568,28.6
"Tybring-Gjedde, Mathilde",Høyre,1044,299,28.6
"Hansen, Eva Kristin",Arbeiderpartiet,1466,427,29.1
"Klinge, Jenny",Senterpartiet,2615,787,30.1
"Jørgensen, Geir",Rødt,2640,797,30.2
"Martinussen, Marie Sneve",Rødt,2641,811,30.7
"Gjelsvik, Sigbjørn",Senterpartiet,765,235,30.7
"Sande, Erling",Senterpartiet,2640,813,30.8
"Strifeldt, Bengt Rune",Fremskrittspartiet,2292,764,33.3
"Trellevik, Ove",Høyre,2602,887,34.1
"Kaski, Kari Elisabeth",Sosialistisk Venstreparti,2277,789,34.7
"Ulstein, Dag-Inge",Kristelig Folkeparti,2633,921,35
"Strand, Marit Knutsdatter",Senterpartiet,1193,424,35.5
"Skjelstad, André N.",Venstre,2339,855,36.6
"Støstad, Rune",Arbeiderpartiet,2406,925,38.4
"Ervik, May Helen Hetland",Fremskrittspartiet,513,200,39
"Asphjell, Jorodd",Arbeiderpartiet,2400,943,39.3
"Trøen, Tone Wilhelmsen",Høyre,2641,1050,39.8
"Moflag, Tuva",Arbeiderpartiet,2635,1048,39.8
"Aasen-Svensrud, Maria",Arbeiderpartiet,2627,1063,40.5
"Wiborg, Erlend",Fremskrittspartiet,2459,1001,40.7
"Sanner, Jan Tore",Høyre,2292,938,40.9
"Mossleth, Siv",Senterpartiet,2617,1101,42.1
"Hartviksen, Ragnhild Male",Arbeiderpartiet,2323,992,42.7
"Kristensen, Turid",Høyre,2450,1068,43.6
"Staalesen, Siri Gåsemyr",Arbeiderpartiet,2618,1148,43.9
"Bollestad, Olaug Vervik",Kristelig Folkeparti,2577,1137,44.1
"Waagen, Elise",Arbeiderpartiet,2640,1166,44.2
"Foss, Ingunn",Høyre,2552,1137,44.6
"Nilsen, Marius Arion",Fremskrittspartiet,2615,1191,45.5
"Helleland, Linda Hofstad",Høyre,2601,1188,45.7
"Aydar, Seher",Rødt,2591,1191,46
"Tyldum, Per Olav",Senterpartiet,2638,1237,46.9
"Leirtrø, Kirsti",Arbeiderpartiet,2640,1257,47.6
"Arnstad, Marit",Senterpartiet,2637,1257,47.7
"Thorsvik, Ingvild Wetrhus",Venstre,2602,1262,48.5
"Hagerup, Margret",Høyre,2361,1152,48.8
"Westrum, Stine",Rødt,49,25,51
"Haltbrekken, Lars",Sosialistisk Venstreparti,2592,1323,51
"Greni, Heidi",Senterpartiet,2640,1354,51.3
"Solberg, Torstein Tvedt",Arbeiderpartiet,2041,1051,51.5
"Moxnes, Bjørnar",Rødt,2640,1367,51.8
"Gulati, Himanshu",Fremskrittspartiet,2617,1358,51.9
"Frølich, Peter",Høyre,2641,1381,52.3
"Abusland, Anja Ninasdotter",Senterpartiet,1889,990,52.4
"Astrup, Nikolai",Høyre,2640,1388,52.6
