]9;4;3;\]9;4;0;\Navn,Parti,Totalt,Tilstede,Tilstede(%)
"Tybring-Gjedde, Christian",Uavhengig representant,132,0,0
"Kaski, Kari Elisabeth",Sosialistisk Venstreparti,23,0,0
"Bergstø, Kirsti",Sosialistisk Venstreparti,117,0,0
"Borch, Sandra",Senterpartiet,132,0,0
"Solberg, Erna",Høyre,132,0,0
"Listhaug, Sylvi",Fremskrittspartiet,132,0,0
"Gimse, Guro Angell",Høyre,15,0,0
"Saudland, Gisle Meininger",Fremskrittspartiet,15,0,0
"Fylkesnes, Torgeir Knag",Sosialistisk Venstreparti,132,2,1.5
"Leirtrø, Kirsti",Arbeiderpartiet,97,2,2.1
"Moflag, Tuva",Arbeiderpartiet,132,15,11.4
"Bjørlo, Alfred Jens",Venstre,132,17,12.9
"Sem-Jacobsen, Åslaug",Senterpartiet,132,17,12.9
"Gharahkhani, Masud",Arbeiderpartiet,132,18,13.6
"Knutsen, Eigil",Arbeiderpartiet,132,21,15.9
"Sanner, Jan Tore",Høyre,89,16,18
"Nilsen, Marius Arion",Fremskrittspartiet,132,24,18.2
"Grotle, Olve",Høyre,132,30,22.7
"Vågslid, Lene",Arbeiderpartiet,132,32,24.2
"Ulstein, Dag-Inge",Kristelig Folkeparti,132,32,24.2
"Abusland, Anja Ninasdotter",Senterpartiet,132,32,24.2
"Westgaard-Halle, Lene",Høyre,130,33,25.4
"Ropstad, Kjell Ingolf",Kristelig Folkeparti,132,36,27.3
"Mykjåland, Gro-Anita",Senterpartiet,132,36,27.3
"Bru, Tina",Høyre,132,36,27.3
"Sjåstad, Runar",Arbeiderpartiet,132,37,28
"Myhrvold, Ole André",Senterpartiet,132,38,28.8
"Helleland, Linda Hofstad",Høyre,117,34,29.1
"Lysbakken, Audun",Sosialistisk Venstreparti,132,39,29.5
"Marhaug, Sofie",Rødt,132,39,29.5
"Hansen, Eva Kristin",Arbeiderpartiet,132,40,30.3
"Asphjell, Jorodd",Arbeiderpartiet,132,45,34.1
"Rotevatn, Sveinung",Venstre,132,45,34.1
"Jørgensen, Geir",Rødt,132,46,34.8
"Lund, Tobias Drevland",Rødt,132,46,34.8
"Melby, Guri",Venstre,132,46,34.8
"Asheim, Henrik",Høyre,132,46,34.8
